# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu-clock:u'
# Event count (approx.): 14717171570
#
# Overhead|     Samples|Symbol                |Shared Object|IPC   [IPC Coverage]
 0.07%  | 1          |[.] 0x0000000049c1057b|game         |-      -
 0.07%  | 1          |[.] 0x0000000049c12000|game         |-      -
 0.07%  | 1          |[.] 0x0000000049c1281f|game         |-      -
 0.07%  | 1          |[.] 0x0000000049c14519|game         |-      -
 0.07%  | 1          |[.] 0x0000000049c44f35|game         |-      -
 0.07%  | 1          |[.] 0x0000000049c784f1|game         |-      -
 0.07%  | 1          |[.] 0x0000000049ce5ffb|game         |-      -
 0.07%  | 1          |[.] 0x0000000049d491d8|game         |-      -
 0.07%  | 1          |[.] 0x0000000049d4cbb3|game         |-      -
 0.07%  | 1          |[.] 0x0000000049d4e67a|game         |-      -
 0.07%  | 1          |[.] 0x0000000049d4eed7|game         |-      -
 0.07%  | 1          |[.] 0x0000000049d58cac|game         |-      -
 0.07%  | 1          |[.] 0x0000000049d58d78|game         |-      -
 0.07%  | 1          |[.] 0x0000000049d58d7d|game         |-      -
 0.07%  | 1          |[.] 0x0000000049d58fa0|game         |-      -
 0.07%  | 1          |[.] 0x0000000049d58fe7|game         |-      -
 0.07%  | 1          |[.] 0x0000000049d58ffe|game         |-      -
 0.07%  | 1          |[.] 0x0000000049d595d0|game         |-      -
 0.07%  | 1          |[.] 0x0000000049d59820|game         |-      -
 0.07%  | 1          |[.] 0x0000000049d59990|game         |-      -
 0.07%  | 1          |[.] 0x0000000049d59c80|game         |-      -
 0.07%  | 1          |[.] 0x0000000049e386d4|game         |-      -
 0.07%  | 1          |[.] 0x0000000049e3d32d|game         |-      -
 0.07%  | 1          |[.] 0x0000000049e3e4d8|game         |-      -
 0.07%  | 1          |[.] 0x0000000049e461e6|game         |-      -
 0.07%  | 1          |[.] 0x0000000049e46b36|game         |-      -
 0.07%  | 1          |[.] 0x0000000049e4b4ac|game         |-      -
 0.07%  | 1          |[.] 0x0000000049e84828|game         |-      -
 0.07%  | 1          |[.] 0x0000000049e86678|game         |-      -
 0.07%  | 1          |[.] 0x0000000049e88ead|game         |-      -
 0.07%  | 1          |[.] 0x0000000049e894f6|game         |-      -
 0.07%  | 1          |[.] 0x0000000049eb9f67|game         |-      -
 0.07%  | 1          |[.] 0x0000000049ebcf6e|game         |-      -
 0.07%  | 1          |[.] 0x0000000049ebf03c|game         |-      -
 0.07%  | 1          |[.] 0x0000000049ec2d52|game         |-      -
 0.07%  | 1          |[.] 0x0000000049f160e7|game         |-      -
 0.07%  | 1          |[.] 0x000000004a0b219a|game         |-      -
 0.07%  | 1          |[.] 0x000000004a12ca76|game         |-      -
 0.07%  | 1          |[.] 0x000000004a41cd03|game         |-      -
 0.07%  | 1          |[.] 0x000000004a41d7e0|game         |-      -
 0.07%  | 1          |[.] 0x000000004a422cf3|game         |-      -
 0.07%  | 1          |[.] 0x000000004a425ab8|game         |-      -
 0.07%  | 1          |[.] 0x000000004a4ef195|game         |-      -
 0.07%  | 1          |[.] 0x000000004a92e5cc|game         |-      -
 0.07%  | 1          |[.] 0x000000004a9358ad|game         |-      -
 0.07%  | 1          |[.] 0x000000004a936a55|game         |-      -
 0.07%  | 1          |[.] 0x000000004a936e21|game         |-      -
 0.07%  | 1          |[.] 0x000000004a9770f6|game         |-      -
 0.07%  | 1          |[.] 0x000000004a989315|game         |-      -
 0.07%  | 1          |[.] 0x000000004a98cb77|game         |-      -
 0.07%  | 1          |[.] 0x000000004a98d823|game         |-      -
 0.07%  | 1          |[.] 0x000000004a990251|game         |-      -
 0.07%  | 1          |[.] 0x000000004a99352e|game         |-      -
 0.07%  | 1          |[.] 0x000000004a994322|game         |-      -
 0.07%  | 1          |[.] 0x000000004aa14d95|game         |-      -
 0.07%  | 1          |[.] 0x000000004aa1778c|game         |-      -
 0.07%  | 1          |[.] 0x000000004aa18510|game         |-      -
 0.07%  | 1          |[.] 0x000000004aa197f4|game         |-      -
 0.07%  | 1          |[.] 0x000000004adae8bc|game         |-      -
 0.07%  | 1          |[.] 0x000000004aded7d2|game         |-      -
 0.07%  | 1          |[.] 0x000000004adf21e6|game         |-      -
 0.07%  | 1          |[.] 0x000000004b0712be|game         |-      -
 0.07%  | 1          |[.] 0x000000004b071f8f|game         |-      -
 0.07%  | 1          |[.] 0x000000004b07a7a0|game         |-      -
 0.07%  | 1          |[.] 0x000000004b07af86|game         |-      -
